wavelength_nm,gas,sigma_cm2_molecule,temperature_k,pressure_hpa,spectroscopy_source,source_table,band_half_width_nm,wavenumber_step_cm-1
575.0,H2O,3.5942495095033897e-26,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.594228132078097e-26,280.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.594226274716049e-26,280.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.651562737632999e-26,293.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.6235230669526916e-26,293.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.621879097210164e-26,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.621737233229627e-26,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.6217023080164407e-26,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
575.0,H2O,3.621692942859114e-26,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.270710680262814e-25,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.25808665270394e-25,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.257999843441138e-25,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2579802543289843e-25,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2579689462459484e-25,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.257965859258061e-25,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.261548999684826e-25,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.246524099909836e-25,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.246346169925288e-25,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2463130741963866e-25,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2463000792173394e-25,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2462965771392417e-25,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.252188489154426e-25,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.235615694149934e-25,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2351626603316293e-25,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2351014042184563e-25,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.235088135059068e-25,280.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.235076822399811e-25,280.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2481125398488577e-25,293.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.2311016920242565e-25,293.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.230451614904873e-25,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.230386846640639e-25,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.230358557986908e-25,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
600.0,H2O,2.230352044107418e-25,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8659432602440263e-25,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8565262442189832e-25,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.856475205966243e-25,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8564479244672992e-25,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8564291676812796e-25,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.85642076970996e-25,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.868629969410622e-25,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.857010094551871e-25,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8568792979563535e-25,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.85685634932364e-25,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8568366173875363e-25,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8568328001339496e-25,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8697818990714448e-25,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8566114730483967e-25,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8563237048383055e-25,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8562939506403733e-25,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8562709665845396e-25,280.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8562625540974085e-25,280.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.869825697636524e-25,293.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.856177911984646e-25,293.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8557604102048844e-25,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8557228920671115e-25,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8557001936062163e-25,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
650.0,H2O,1.8556963239322917e-25,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.026696010228408e-25,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.004845466542479e-25,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.004787001762161e-25,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.004765341521123e-25,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.004720028117655e-25,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.00468416110507e-25,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.0371239311106635e-25,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.008639572241762e-25,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.008489530860834e-25,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.008452560350804e-25,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.008394591868638e-25,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.008358145451357e-25,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.043370879813422e-25,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.010079113602085e-25,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009651814257121e-25,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009597704781437e-25,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009524994075971e-25,280.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009516643801508e-25,280.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.044831305372151e-25,293.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009873098014291e-25,293.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009339327899848e-25,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009272972412022e-25,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009189923851196e-25,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
700.0,H2O,5.009172695741511e-25,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,4.1250463054067005e-26,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,4.103856113748032e-26,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,4.1024909037726885e-26,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,4.101971816779412e-26,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,4.101582249153502e-26,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,4.101447527289737e-26,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,5.293825927452832e-26,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,5.260500221035786e-26,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,5.25858370398724e-26,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,5.257732843816474e-26,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,5.257184746507615e-26,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,5.256952541229784e-26,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,6.599517073321519e-26,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,6.553213666957136e-26,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,6.549837067600831e-26,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,6.548619454331677e-26,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,6.547950238295681e-26,280.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,6.54765251121119e-26,280.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.211204301149699e-26,293.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.158988428804086e-26,293.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.154682017224343e-26,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.153366056398099e-26,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.152568826816569e-26,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
750.0,H2O,7.152245060060301e-26,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,H2O_560_765,12.5,0.02
550.0,O2,0.0,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,280.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,280.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,293.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,293.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
550.0,O2,0.0,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_535_765,12.5,0.02
575.0,O2,1.7098404720642048e-29,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6967001354705629e-29,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6966913764679312e-29,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6966795780753166e-29,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6966817879709364e-29,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.696678284532793e-29,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.7131786223825378e-29,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6991904347392358e-29,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6987039331574477e-29,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.698696168150113e-29,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6987057360095477e-29,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6987038144263918e-29,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.714936700946625e-29,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.7021490501039514e-29,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.699433608642843e-29,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6994206986769646e-29,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6994333461065068e-29,280.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.699435414329873e-29,280.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.715179790393233e-29,293.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.7030804795393818e-29,293.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6993370570157053e-29,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.699314092431591e-29,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6993113800596598e-29,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
575.0,O2,1.6993147733541356e-29,293.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,220.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,250.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,280.0,1000.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,293.0,100.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,293.0,300.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,293.0,500.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,293.0,700.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
600.0,O2,0.0,293.0,900.0,HITRAN_HAPI_VOIGT_LOCAL,O2_560_765,12.5,0.02
